05:27:56 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_s1.map
05:27:56 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_prl1.map
05:27:56 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_s2m.map
05:27:56 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_lumi.map
05:27:56 PM Apr 24, 2013 > INIT TIME:90 (sec)
05:27:56 PM Apr 24, 2013 > Start HV server -> port: 5555
06:19:42 PM Apr 24, 2013 > Begin initialization...

06:19:46 PM Apr 24, 2013 > hatsv9:2006:HVON
06:19:46 PM Apr 24, 2013 > End initialization
06:21:07 PM Apr 24, 2013 > HV monitor started -> hatsv9:2006
06:21:08 PM Apr 24, 2013 > hatsv9:2006:HVON
06:21:08 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/TA_E.map
06:21:08 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/TA_dE.map
06:21:08 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_gc.map
06:21:08 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_sh.map
06:21:08 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_s1.map
06:21:08 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_ps.map
06:21:08 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_s2m.map
06:21:08 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_prl2.map
06:21:09 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_gc.map
06:21:09 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_s1.map
06:21:09 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_prl1.map
06:21:09 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_s2m.map
06:21:09 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_lumi.map
06:21:09 PM Apr 24, 2013 > INIT TIME:86 (sec)
06:21:09 PM Apr 24, 2013 > Start HV server -> port: 5555
